epb_exporter_id,company_name,observed_hs_code,observed_digits,hs4,hs2,link_type,link_confidence,source_url,source_retrieved_date
1642,APPAREL EXPORT LTD,6216,4,6216,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1642,APPAREL EXPORT LTD,6217,4,6217,62,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1642,2026-09-03
1828,Jute & Bags Export Corporation,5303,4,5303,53,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1828,2026-09-03
1828,Jute & Bags Export Corporation,6305,4,6305,63,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/1828,2026-09-03
2036,Meghna Bangladesh Limited,8711,4,8711,87,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/2036,2026-09-03
2036,Meghna Bangladesh Limited,8712,4,8712,87,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/2036,2026-09-03
2036,Meghna Bangladesh Limited,8714,4,8714,87,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/2036,2026-09-03
2036,Meghna Bangladesh Limited,9503,4,9503,95,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/2036,2026-09-03
2374,BP Footwear & Industries,4205,4,4205,42,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/2374,2026-09-03
2374,BP Footwear & Industries,6403,4,6403,64,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/2374,2026-09-03
2374,BP Footwear & Industries,6404,4,6404,64,observed_EPB_registration,A,https://edb.epb.gov.bd/exporter/2374,2026-09-03
